Nation,Player,Pos,Squad,Min,90s,Gls,Ast,xG,xAG,PrgC,PrgP,PrgR,Sh,SoT,Cmp%,KP,PPA,Tkl,TklW,Int,Tkl+Int,Clr,Touches,Succ,Succ%,Carries,Rec,Fls
eng ENG,Max Aarons,DF,Bournemouth,86,1.0,0,0,0.0,0.0,1,8,3,0,0,79.4,0,0,2,2,1,3,0,73,0,0.0,41,40,0
eng ENG,Max Aarons,"DF,MF",Valencia,120,1.3,0,0,0.0,0.0,0,6,10,0,0,71.2,1,0,4,4,0,4,3,85,1,25.0,46,49,0
es ESP,Rodrigo Abajas,DF,Valencia,65,0.7,0,0,0.1,0.0,3,2,3,1,0,58.6,0,0,3,2,1,4,0,36,1,100.0,13,16,2
ie IRL,James Abankwah,"DF,MF",Udinese,88,1.0,0,0,0.1,0.0,3,4,1,1,0,78.3,0,0,4,2,1,5,3,65,0,,29,34,4
fr FRA,Keyliane Abdallah,FW,Marseille,3,0.0,0,0,0.0,0.0,1,0,0,0,0,100.0,0,0,1,1,0,1,0,4,0,,1,3,0
ma MAR,Yunis Abdelhamid,DF,Saint-Étienne,1033,11.5,0,0,0.2,0.1,4,22,3,2,1,86.7,2,0,17,11,14,31,57,641,3,42.9,322,393,16
dz ALG,Himad Abdelli,"MF,FW",Angers,2842,31.6,6,1,6.4,3.2,107,207,111,35,8,82.1,39,38,48,32,26,74,28,1993,57,47.1,1183,1446,48
eg EGY,Mohamed Abdelmoneim,DF,Nice,855,9.5,0,0,0.0,0.0,6,52,5,0,0,90.4,0,1,21,14,15,36,56,635,1,25.0,342,386,9
tn TUN,Ali Abdi,"DF,MF",Nice,1393,15.5,5,2,4.3,1.9,35,42,101,29,11,74.0,20,21,43,25,20,63,37,886,12,41.4,391,481,27
sa KSA,Saud Abdulhamid,DF,Roma,205,2.3,0,1,0.0,0.2,6,9,26,1,0,86.8,2,4,3,2,2,5,0,157,3,37.5,90,108,2
es ESP,Abel,DF,Osasuna,2074,23.0,2,0,0.5,1.0,50,77,92,12,4,72.5,16,18,61,37,18,79,64,1322,18,51.4,605,683,25
fr FRA,Nabil Aberdin,MF,Getafe,263,2.9,0,0,0.0,0.0,2,6,2,2,0,59.0,1,2,6,4,0,6,5,87,2,66.7,34,36,7
dk DEN,Oliver Abildgaard,MF,Como,7,0.1,0,0,0.0,0.0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,2,0,,0,0,0
fr FRA,Matthis Abline,FW,Nantes,2768,30.8,9,2,8.5,3.8,75,48,169,73,26,65.2,27,15,11,5,4,15,36,878,35,40.7,587,689,34
br BRA,Abner,DF,Lyon,1090,12.1,1,1,0.6,1.1,31,66,55,7,3,84.1,11,11,29,20,5,34,41,791,6,50.0,426,513,16
ma MAR,Zakaria Aboukhlal,"MF,FW",Toulouse,1901,21.1,7,2,10.2,1.6,34,22,164,62,26,63.3,12,10,22,13,6,28,9,613,16,30.2,375,450,35
ma MAR,Abdel Abqar,DF,Alavés,2463,27.4,0,1,0.9,0.3,16,79,4,12,1,76.6,8,10,36,23,39,75,146,1251,3,75.0,632,650,47
eng ENG,Tammy Abraham,FW,Roma,1,0.0,0,0,0.0,0.0,0,1,2,0,0,33.3,0,0,0,0,0,0,0,4,0,,3,4,0
eng ENG,Tammy Abraham,FW,Milan,1183,13.1,3,4,7.1,2.2,8,26,69,26,11,68.8,14,10,17,11,2,19,16,367,4,28.6,158,241,23
it ITA,Federico Accornero,MF,Genoa,5,0.1,0,0,0.0,0.0,0,0,0,0,0,66.7,0,0,0,0,0,0,0,8,0,,5,5,0
it ITA,Francesco Acerbi,DF,Inter,1710,19.0,0,1,0.4,0.6,19,62,22,5,1,92.5,9,8,23,19,26,49,81,1484,3,75.0,915,1101,11
eng ENG,Joshua Acheampong,DF,Chelsea,170,1.9,0,0,0.2,0.0,0,8,0,2,0,83.9,0,0,2,1,1,3,2,137,1,50.0,106,111,0
ng NGA,Akor Adams,FW,Sevilla,134,1.5,0,0,0.4,0.0,0,5,5,2,1,74.1,0,1,0,0,0,0,1,34,1,100.0,5,20,1
ng NGA,Akor Adams,FW,Montpellier,1075,11.9,3,1,4.3,1.0,11,6,45,26,12,62.6,12,0,4,3,1,5,5,251,7,50.0,126,174,17
sct SCO,Che Adams,FW,Torino,2652,29.5,9,3,9.0,2.0,23,40,153,63,25,74.3,26,7,12,6,2,14,18,802,11,29.7,509,630,29
us USA,Tyler Adams,MF,Bournemouth,1965,21.8,0,3,1.6,1.0,14,76,10,9,2,84.4,18,4,83,50,32,115,42,1337,4,22.2,663,757,45
at AUT,Junior Adamu,FW,Freiburg,1545,17.2,2,2,5.5,2.4,8,14,84,36,11,63.5,17,8,9,3,12,21,20,534,10,34.5,275,350,38
eng ENG,Tosin Adarabioyo,DF,Chelsea,1409,15.7,1,1,0.9,0.2,5,42,1,13,2,91.1,1,1,17,13,11,28,80,1330,4,66.7,777,1000,8
fr FRA,Martin Adeline,MF,Reims,26,0.3,0,0,0.0,0.0,1,0,1,0,0,80.0,0,0,1,1,0,1,2,14,0,,6,9,0
de GER,Karim Adeyemi,"FW,MF",Dortmund,1433,15.9,7,6,5.5,6.0,68,28,153,46,18,74.3,28,19,20,14,7,27,5,636,40,42.6,417,465,27
ci CIV,Simon Adingra,"FW,MF",Brighton,1097,12.2,2,2,2.5,2.5,50,18,136,33,8,75.9,16,17,23,14,8,31,6,548,21,42.0,366,388,13
ma MAR,Amine Adli,"MF,FW",Leverkusen,766,8.5,2,0,2.7,0.7,37,24,100,20,7,74.2,11,15,15,9,0,15,4,468,15,46.9,248,350,15
fr FRA,Yacine Adli,MF,Fiorentina,1219,13.5,4,6,1.0,2.4,24,103,30,14,5,80.7,23,16,32,19,6,38,19,1021,12,37.5,618,690,9
es ESP,Adrián,GK,Betis,1710,19.0,0,0,0.0,0.0,0,0,0,0,0,76.6,0,0,0,0,0,0,14,658,0,,390,299,0
br BRA,Adryelson,DF,Lyon,1,0.0,0,0,0.0,0.0,0,1,0,0,0,33.3,0,0,0,0,1,1,1,5,0,,1,1,0
me MNE,Vasilije Adžić,"MF,FW",Juventus,42,0.5,0,0,0.0,0.0,0,1,3,1,1,75.0,0,1,2,2,0,2,0,24,0,0.0,14,20,1
ch SUI,Michel Aebischer,MF,Bologna,724,8.0,0,0,0.4,0.4,8,33,17,10,5,87.4,8,5,18,13,7,25,6,485,3,50.0,291,346,16
eng ENG,Oladapo Afolayan,"FW,MF",St. Pauli,1639,18.2,3,1,3.1,3.8,53,32,108,38,13,69.4,21,14,17,8,8,25,20,741,48,49.0,495,555,21
ci CIV,Emmanuel Agbadou,DF,Wolves,1410,15.7,1,0,0.8,0.2,6,31,2,7,2,85.4,4,1,30,19,12,42,90,1172,10,76.9,758,796,7
